label,precision,recall,f1-score,support,accuracy
1,0.631578947368421,0.5901639344262295,0.6101694915254237,122.0,0.5214007782101168
2,0.5,0.5773195876288659,0.5358851674641149,97.0,0.5214007782101168
3,0.0,0.0,0.0,8.0,0.5214007782101168
4,0.21428571428571427,0.21428571428571427,0.21428571428571427,14.0,0.5214007782101168
5,0.5,0.2222222222222222,0.30769230769230765,9.0,0.5214007782101168
6,0.08333333333333333,0.3333333333333333,0.13333333333333333,3.0,0.5214007782101168
7,0.0,0.0,0.0,4.0,0.5214007782101168
macro avg,0.27559971356963836,0.27676068455662356,0.2573380020429848,257.0,0.5214007782101168
weighted avg,0.5186872824083555,0.5214007782101168,0.5159173929157651,257.0,0.5214007782101168
