label,precision,recall,f1-score,support,accuracy
1,0.6330275229357798,0.5798319327731093,0.6052631578947367,119.0,0.5203252032520326
2,0.48623853211009177,0.5824175824175825,0.53,91.0,0.5203252032520326
3,0.0,0.0,0.0,7.0,0.5203252032520326
4,0.23076923076923078,0.21428571428571427,0.22222222222222224,14.0,0.5203252032520326
5,0.5,0.2222222222222222,0.30769230769230765,9.0,0.5203252032520326
6,0.1,0.3333333333333333,0.15384615384615383,3.0,0.5203252032520326
7,0.0,0.0,0.0,3.0,0.5203252032520326
macro avg,0.27857646940215747,0.27601296929028024,0.2598605488079172,246.0,0.5203252032520326
weighted avg,0.5187347596835178,0.5203252032520326,0.5146268135420895,246.0,0.5203252032520326
