label,precision,recall,f1-score,support,accuracy
1,0.54,0.54,0.54,50.0,0.5132743362831859
2,0.5,0.6222222222222222,0.5544554455445545,45.0,0.5132743362831859
3,0.0,0.0,0.0,3.0,0.5132743362831859
4,0.5,0.16666666666666666,0.25,6.0,0.5132743362831859
5,1.0,0.2857142857142857,0.4444444444444445,7.0,0.5132743362831859
6,0.0,0.0,0.0,2.0,0.5132743362831859
7,0.0,0.0,0.0,0.0,0.5132743362831859
micro avg,0.5132743362831859,0.5132743362831859,0.5132743362831859,113.0,0.5132743362831859
macro avg,0.3628571428571429,0.23065759637188213,0.2555571271412856,113.0,0.5132743362831859
weighted avg,0.5265486725663717,0.5132743362831859,0.5005451872620891,113.0,0.5132743362831859
