label,precision,recall,f1-score,support,accuracy
1,0.6236559139784946,0.5918367346938775,0.6073298429319371,98.0,0.5263157894736842
2,0.5,0.5897435897435898,0.5411764705882353,78.0,0.5263157894736842
3,0.0,0.0,0.0,6.0,0.5263157894736842
4,0.3,0.21428571428571427,0.25,14.0,0.5263157894736842
5,0.5,0.2222222222222222,0.30769230769230765,9.0,0.5263157894736842
6,0.1,0.3333333333333333,0.15384615384615383,3.0,0.5263157894736842
7,0.0,0.0,0.0,1.0,0.5263157894736842
macro avg,0.2890937019969278,0.278774513468391,0.2657206821512334,209.0,0.5263157894736842
weighted avg,0.5220970314348923,0.5263157894736842,0.5189514762869925,209.0,0.5263157894736842
