label,precision,recall,f1-score,support,accuracy
1,0.6722222222222223,0.5960591133004927,0.6318537859007833,203.0,0.5370843989769821
2,0.47928994082840237,0.6090225563909775,0.5364238410596027,133.0,0.5370843989769821
3,0.0,0.0,0.0,9.0,0.5370843989769821
4,0.16666666666666666,0.15789473684210525,0.16216216216216214,19.0,0.5370843989769821
5,0.6666666666666666,0.25,0.36363636363636365,16.0,0.5370843989769821
6,0.0625,0.2,0.09523809523809523,5.0,0.5370843989769821
7,0.0,0.0,0.0,6.0,0.5370843989769821
macro avg,0.2924779280548511,0.25899662950479646,0.25561632114242955,391.0,0.5370843989769821
weighted avg,0.5482161293468591,0.5370843989769821,0.5344914137448582,391.0,0.5370843989769821
